Page,Route,Slide / section,Source paragraph,Source heading,Source body,Source CTA / links,Treatment,Current representation,Not reproduced verbatim by standard renderer,Stored in pages.json,Implementation file
43,/developers,SECTION 5,1644,Authentication & Permissions,Use scoped credentials and documented authorization rules.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Authentication & Permissions
Use scoped credentials and documented authorization rules.",Yes,src/pages/ContentPage.tsx
43,/developers,SECTION 6,1647,Partner and Industry Extensions,"Build approved partner integrations, industry extensions, and custom intelligence through governed interfaces without fragmenting the core experience.
SECTION 7",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Partner and Industry Extensions
Build approved partner integrations, industry extensions, and custom intelligence through governed interfaces without fragmenting the core experience.
SECTION 7",Yes,src/pages/ContentPage.tsx
43,/developers,SECTION 7 / SECTION - SECURE EXTENSION BOUNDARIES,1651,Extend the Platform Without Extending Authority,"Use least-privilege scopes, server-side authorization, input and output validation, secret isolation, rate limits, safe retry behavior, audit events, and explicit approval boundaries. Integrations and extensions must not inherit broader data, tool, or execution authority than the caller has been granted.
One Platform. Stable Extension Boundaries.
Extend the OS through documented interfaces while keeping internal architecture out of ordinary-user navigation.",CTA: Read the Developer Docs,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Extend the Platform Without Extending Authority
Use least-privilege scopes, server-side authorization, input and output validation, secret isolation, rate limits, safe retry behavior, audit events, and explicit approval boundaries. Integrations and extensions must not inherit broader data, tool, or execution authority than the caller has been granted.
One Platform. Stable Extension Boundaries.
Extend the OS through documented interfaces while keeping internal architecture out of ordinary-user navigation.",Yes,src/pages/ContentPage.tsx
44,/developers/api,HERO,1664,Build Against Stable Interfaces.,"Use documented APIs with clear authentication, schemas, permissions, errors, and versioning.",CTA: View API Reference,Title retained; body replaced,Build Against Stable Interfaces. — generic availability description.,"Use documented APIs with clear authentication, schemas, permissions, errors, and versioning.",Yes,src/pages/ContentPage.tsx
44,/developers/api,SECTION 2,1668,API Principles,"Versioned endpoints
Explicit schemas
Scoped authorization
Documented errors
Rate limits
Idempotency where required
Deprecation policy",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"API Principles
Versioned endpoints
Explicit schemas
Scoped authorization
Documented errors
Rate limits
Idempotency where required
Deprecation policy",Yes,src/pages/ContentPage.tsx
44,/developers/api,SECTION 3,1677,Core Domains,"Workflows
AI orchestration
Organization rhythm
Events
Integrations
Authorized data access
SECTION 4",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Core Domains
Workflows
AI orchestration
Organization rhythm
Events
Integrations
Authorized data access
SECTION 4",Yes,src/pages/ContentPage.tsx
44,/developers/api,SECTION 4 / SECTION - SECURITY CONTRACT,1686,Authorization Is Part of the API Contract,"Enforce role, object-level, function-level, workspace, and tenant authorization on the server.
Use scoped credentials, short-lived tokens where appropriate, secure secret storage, and explicit revocation.
Protect sensitive endpoints with rate limits, idempotency, replay-safe behavior, and step-up controls where consequence requires it.
Return safe, documented errors without exposing sensitive account, authorization, or infrastructure details.
Create and Execute a Workflow
Authenticate with the correct scope, create the workflow, add steps, execute, inspect status, and handle events or errors through documented contracts.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Authorization Is Part of the API Contract
Enforce role, object-level, function-level, workspace, and tenant authorization on the server.
Use scoped credentials, short-lived tokens where appropriate, secure secret storage, and explicit revocation.
Protect sensitive endpoints with rate limits, idempotency, replay-safe behavior, and step-up controls where consequence requires it.
Return safe, documented errors without exposing sensitive account, authorization, or infrastructure details.
Create and Execute a Workflow
Authenticate with the correct scope, create the workflow, add steps, execute, inspect status, and handle events or errors through documented contracts.",Yes,src/pages/ContentPage.tsx
44,/developers/api,SECTION 5,1694,Start With the Contract.,"Use explicit authentication, schemas, permissions, errors, and version behavior before building integration logic.",CTA: View API Reference,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Start With the Contract.
Use explicit authentication, schemas, permissions, errors, and version behavior before building integration logic.",Yes,src/pages/ContentPage.tsx
45,/developers/sdks,HERO,1705,Build With LAMID ONE Capabilities.,"Use supported SDKs to work with documented platform interfaces without rebuilding core protocol, authorization, and event handling.",CTA: View SDKs,Title retained; body replaced,Build With LAMID ONE Capabilities. — generic availability description.,"Use supported SDKs to work with documented platform interfaces without rebuilding core protocol, authorization, and event handling.",Yes,src/pages/ContentPage.tsx
45,/developers/sdks,SECTION 2,1709,SDK Areas,"Core OS
Workflows
AI orchestration
Authorized data
Events
Integrations",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"SDK Areas
Core OS
Workflows
AI orchestration
Authorized data
Events
Integrations",Yes,src/pages/ContentPage.tsx
45,/developers/sdks,SECTION 3,1717,Listen for Workflow Completion,"Subscribe to an approved event, validate payloads, handle retries, and trigger permitted downstream action.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Listen for Workflow Completion
Subscribe to an approved event, validate payloads, handle retries, and trigger permitted downstream action.",Yes,src/pages/ContentPage.tsx
45,/developers/sdks,SECTION 4,1720,Versioning,Pin supported versions and follow migration guidance as interfaces evolve.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Versioning
Pin supported versions and follow migration guidance as interfaces evolve.",Yes,src/pages/ContentPage.tsx
45,/developers/sdks,SECTION 5,1723,Supported Versions,"See the SDKs, versions, capabilities, and release status currently supported.",CTA: View SDKs,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Supported Versions
See the SDKs, versions, capabilities, and release status currently supported.",Yes,src/pages/ContentPage.tsx
46,/integrations,HERO,1734,Connect the Systems You Already Use.,"Bring relevant external context into LAMID ONE and allow only authorized synchronization or progression while respecting permissions, ownership, freshness, revocation, and data boundaries.",CTA: Explore Integrations,Title retained; body replaced,Connect the Systems You Already Use. — generic availability description.,"Bring relevant external context into LAMID ONE and allow only authorized synchronization or progression while respecting permissions, ownership, freshness, revocation, and data boundaries.",Yes,src/pages/ContentPage.tsx
46,/integrations,SECTION 2,1738,Integration Categories,"CRM
Finance
People / HR
Project / work management
Identity
Data / analytics",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Integration Categories
CRM
Finance
People / HR
Project / work management
Identity
Data / analytics",Yes,src/pages/ContentPage.tsx
46,/integrations,SECTION 3,1746,Control the Connection,"Review scopes, data access, synchronization direction, permitted progression, freshness, status, and revocation.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Control the Connection
Review scopes, data access, synchronization direction, permitted progression, freshness, status, and revocation.",Yes,src/pages/ContentPage.tsx
46,/integrations,SECTION 4,1749,Connect CRM and Finance Context,Bring pipeline and revenue context into a growth decision without copying every external system into one interface.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Connect CRM and Finance Context
Bring pipeline and revenue context into a growth decision without copying every external system into one interface.",Yes,src/pages/ContentPage.tsx
46,/integrations,SECTION 5,1752,Reduce Fragmentation Without Creating a New Silo.,"Connect external systems for the context they contribute while preserving ownership, permissions, freshness, and revocation.",CTA: Explore Integrations,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Reduce Fragmentation Without Creating a New Silo.
Connect external systems for the context they contribute while preserving ownership, permissions, freshness, and revocation.",Yes,src/pages/ContentPage.tsx
47,/developers/webhooks,HERO,1763,Keep Context Current Through Meaningful Events.,Use controlled events and webhooks to keep permitted operating context and already-authorized workflows progressing across LAMID ONE and external systems without requiring the user to be present.,CTA: Read Webhook Docs,Title retained; body replaced,Keep Context Current Through Meaningful Events. — generic availability description.,Use controlled events and webhooks to keep permitted operating context and already-authorized workflows progressing across LAMID ONE and external systems without requiring the user to be present.,Yes,src/pages/ContentPage.tsx
47,/developers/webhooks,SECTION 2,1767,Event Model,"Event type
Workspace or organization context
Timestamp
Actor
Payload
Version",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Event Model
Event type
Workspace or organization context
Timestamp
Actor
Payload
Version",Yes,src/pages/ContentPage.tsx
47,/developers/webhooks,SECTION 3,1775,Delivery,"Signing
Timestamp validation
Replay protection
Secret rotation / revocation
Retries
Idempotency
Failure handling
Replay where supported",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Delivery
Signing
Timestamp validation
Replay protection
Secret rotation / revocation
Retries
Idempotency
Failure handling
Replay where supported",Yes,src/pages/ContentPage.tsx
47,/developers/webhooks,SECTION 4,1785,Notify an External System After Approval,"Receive the approved workflow event, verify the signature, process once, and return a successful acknowledgement.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Notify an External System After Approval
Receive the approved workflow event, verify the signature, process once, and return a successful acknowledgement.",Yes,src/pages/ContentPage.tsx
47,/developers/webhooks,SECTION 5,1788,"Build for Reliable, Traceable Delivery.","Use signed events, retry handling, idempotency, observable failures, event timestamps, permission checks, and replay controls so persistent progression remains dependable, bounded, and traceable.",CTA: Read Webhook Docs,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Build for Reliable, Traceable Delivery.
Use signed events, retry handling, idempotency, observable failures, event timestamps, permission checks, and replay controls so persistent progression remains dependable, bounded, and traceable.",Yes,src/pages/ContentPage.tsx
48,/developers/changelog,HERO,1799,Know What Changed.,"Follow API, SDK, schema, integration, and platform updates.",CTA: View Changelog,Title retained; body replaced,Know What Changed. — generic availability description.,"Follow API, SDK, schema, integration, and platform updates.",Yes,src/pages/ContentPage.tsx
48,/developers/changelog,SECTION 2,1803,Each Entry Includes,"Date
Version
Area
Change
Impact
Required action
Migration guidance",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Each Entry Includes
Date
Version
Area
Change
Impact
Required action
Migration guidance",Yes,src/pages/ContentPage.tsx
48,/developers/changelog,SECTION 3,1812,Breaking Changes,Use explicit notice periods and migration paths.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Breaking Changes
Use explicit notice periods and migration paths.",Yes,src/pages/ContentPage.tsx
49,/about,HERO,1821,Why LAMID ONE Exists,"People and organizations work across more information, tools, decisions, and complexity. Better technology should make that complexity easier to navigate - not add to it.",CTA: Read Our Story,Verbatim extract,"Why LAMID ONE Exists | People and organizations work across more information, tools, decisions, and complexity. Better technology should make that complexity easier to navigate - not add to it.",,Yes,src/pages/ContentPage.tsx
49,/about,SECTION 2,1825,Our Belief,"Human judgment matters. AI creates new possibilities. Strong systems bring both together responsibly - technology should serve human needs, protect human agency, and support better decisions rather than exploit human psychology.",,Verbatim extract,"Our Belief | Human judgment matters. AI creates new possibilities. Strong systems bring both together responsibly - technology should serve human needs, protect human agency, and support better decisions rather than exploit human psychology.",,Yes,src/pages/ContentPage.tsx
49,/about,SECTION 3,1828,What We Are Building,"One Continuous Human-AI Growth Operating System that starts with individual work and expands into teams, businesses, enterprises, and institutions.",,Verbatim extract,"What We Are Building | One Continuous Human-AI Growth Operating System that starts with individual work and expands into teams, businesses, enterprises, and institutions.",,Yes,src/pages/ContentPage.tsx
49,/about,SECTION 4,1831,Mission,"Help people and organizations build greater clarity, capability, and consistency through continuous Human-AI intelligence designed around real work and evolving context.",,Verbatim extract,"Mission | Help people and organizations build greater clarity, capability, and consistency through continuous Human-AI intelligence designed around real work and evolving context.",,Yes,src/pages/ContentPage.tsx
49,/about,SECTION 5,1834,Vision,"A world where people and intelligent systems work together continuously with greater clarity, capability, growth, and human agency.",,Verbatim extract,"Vision | A world where people and intelligent systems work together continuously with greater clarity, capability, growth, and human agency.",,Yes,src/pages/ContentPage.tsx
49,/about,SECTION 6,1837,One System Instead of More Fragmentation,"Bring context, capability, decisions, and execution together instead of adding another disconnected layer.",CTA: Read Our Story,Verbatim extract,"One System Instead of More Fragmentation | Bring context, capability, decisions, and execution together instead of adding another disconnected layer.",,Yes,src/pages/ContentPage.tsx
50,/about/story,HERO,1848,The Thinking Behind LAMID ONE,"Built from consulting and organizational experience, LAMID ONE began with a recurring observation: more tools were being added while decisions, workflows, and context remained fragmented.",CTA: Explore LAMID ONE,Title retained; body replaced,The Thinking Behind LAMID ONE — generic availability description.,"Built from consulting and organizational experience, LAMID ONE began with a recurring observation: more tools were being added while decisions, workflows, and context remained fragmented.",Yes,src/pages/ContentPage.tsx
50,/about/story,SECTION 2,1852,The Observation,"Fragmented systems force people to reconstruct context across decisions, teams, and tools.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"The Observation
Fragmented systems force people to reconstruct context across decisions, teams, and tools.",Yes,src/pages/ContentPage.tsx
50,/about/story,SECTION 3,1855,What Experience Revealed,"Across consulting and organizational work, the recurring challenge was not simply a lack of tools; it was the loss of context between decisions, people, and execution.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"What Experience Revealed
Across consulting and organizational work, the recurring challenge was not simply a lack of tools; it was the loss of context between decisions, people, and execution.",Yes,src/pages/ContentPage.tsx
50,/about/story,SECTION 4,1858,The Design Response,"Build one operating environment that could preserve context, combine human judgment with AI capability, and add depth without forcing visible complexity to grow with it.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"The Design Response
Build one operating environment that could preserve context, combine human judgment with AI capability, and add depth without forcing visible complexity to grow with it.",Yes,src/pages/ContentPage.tsx
50,/about/story,SECTION 5,1861,The Result,"That idea became LAMID ONE: a Continuous Human-AI Growth Operating System that adapts to context, time, and scale.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"The Result
That idea became LAMID ONE: a Continuous Human-AI Growth Operating System that adapts to context, time, and scale.",Yes,src/pages/ContentPage.tsx
50,/about/story,SECTION 6,1864,Human and Intelligent - Working as One.,LAMID ONE brings human judgment and continuous AI capability together in one operating model rather than positioning either as a replacement for the other.,CTA: Explore LAMID ONE,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Human and Intelligent - Working as One.
LAMID ONE brings human judgment and continuous AI capability together in one operating model rather than positioning either as a replacement for the other.",Yes,src/pages/ContentPage.tsx
51,/about/leadership,HERO,1875,Leadership Behind LAMID ONE,"LAMID ONE is founder-led today. Direction, product, technology, and the operating principles behind the company remain under clearly identified leadership responsibility.",CTA: Read Our Story,Title retained; body replaced,Leadership Behind LAMID ONE — generic availability description.,"LAMID ONE is founder-led today. Direction, product, technology, and the operating principles behind the company remain under clearly identified leadership responsibility.",Yes,src/pages/ContentPage.tsx
51,/about/leadership,SECTION 2,1879,Founder-Led Today,Leadership is presented as it exists: one founder currently carrying responsibility for the company and product direction.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Founder-Led Today
Leadership is presented as it exists: one founder currently carrying responsibility for the company and product direction.",Yes,src/pages/ContentPage.tsx
51,/about/leadership,SECTION 3,1882,Responsibility Before Title,See the founder's current responsibilities alongside the areas and decisions they are accountable for.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Responsibility Before Title
See the founder's current responsibilities alongside the areas and decisions they are accountable for.",Yes,src/pages/ContentPage.tsx
51,/about/leadership,SECTION 4,1885,Experience With Context,"Verified experience is presented for the work it informs, without inflated titles, unsupported credentials, or vague superlatives.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Experience With Context
Verified experience is presented for the work it informs, without inflated titles, unsupported credentials, or vague superlatives.",Yes,src/pages/ContentPage.tsx
51,/about/leadership,SECTION 5,1888,Advisors and Contributors,"Advisors, contributors, partners, contractors, and specialists are identified separately by their actual role. They are not presented as executives unless they formally hold that responsibility.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Advisors and Contributors
Advisors, contributors, partners, contractors, and specialists are identified separately by their actual role. They are not presented as executives unless they formally hold that responsibility.",Yes,src/pages/ContentPage.tsx
51,/about/leadership,SECTION 6,1891,Built to Scale With the Company,"As formal leadership expands, verified leaders can be added without changing the underlying information architecture or blurring who is accountable for what.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Built to Scale With the Company
As formal leadership expands, verified leaders can be added without changing the underlying information architecture or blurring who is accountable for what.",Yes,src/pages/ContentPage.tsx
52,/careers,HERO,1901,Help Build a Better Human-AI Operating Model.,"Work on a system designed to make capable AI more useful, understandable, and accountable in real work.",CTA: Explore Careers,Title retained; body replaced,Help Build a Better Human-AI Operating Model. — generic availability description.,"Work on a system designed to make capable AI more useful, understandable, and accountable in real work.",Yes,src/pages/ContentPage.tsx
52,/careers,SECTION 2,1905,How We Work,"Clarity over noise.
Responsibility over hype.
Depth without unnecessary complexity.
Human judgment stays central.
Evidence before claims.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"How We Work
Clarity over noise.
Responsibility over hype.
Depth without unnecessary complexity.
Human judgment stays central.
Evidence before claims.",Yes,src/pages/ContentPage.tsx
52,/careers,SECTION 3,1912,What We Build,"Product
AI systems
Platform engineering
Design
Research
Operations
Customer experience",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"What We Build
Product
AI systems
Platform engineering
Design
Research
Operations
Customer experience",Yes,src/pages/ContentPage.tsx
52,/careers,SECTION 4,1921,What We Value,Clear thinking. Strong craft. Responsible judgment. Collaboration. Learning. Ownership.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"What We Value
Clear thinking. Strong craft. Responsible judgment. Collaboration. Learning. Ownership.",Yes,src/pages/ContentPage.tsx
52,/careers,SECTION 5,1924,Build Technology People Can Use With Confidence.,"Work where capability, context, control, and accountability strengthen each other.",CTA: Explore Careers,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Build Technology People Can Use With Confidence.
Work where capability, context, control, and accountability strengthen each other.",Yes,src/pages/ContentPage.tsx
53,/press,HERO,1935,LAMID ONE - Press & Media,"Find verified company information, announcements, approved assets, and media contacts.",CTA: Contact Media,Title retained; body replaced,LAMID ONE - Press & Media — generic availability description.,"Find verified company information, announcements, approved assets, and media contacts.",Yes,src/pages/ContentPage.tsx
53,/press,SECTION 2,1939,Company Facts,"Find the approved category description, company summary, leadership information, and key facts.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Company Facts
Find the approved category description, company summary, leadership information, and key facts.",Yes,src/pages/ContentPage.tsx
53,/press,SECTION 3,1942,Announcements,"Read dated, attributable company news and announcements.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Announcements
Read dated, attributable company news and announcements.",Yes,src/pages/ContentPage.tsx
53,/press,SECTION 4,1945,Media Assets,"Access approved logos, screenshots, and brand guidance.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Media Assets
Access approved logos, screenshots, and brand guidance.",Yes,src/pages/ContentPage.tsx
53,/press,SECTION 5,1948,Media Contact,Contact the appropriate media representative for press inquiries.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Media Contact
Contact the appropriate media representative for press inquiries.",Yes,src/pages/ContentPage.tsx
54,/contact,HERO,1957,Start the Right Conversation.,Choose what you need and reach the right team faster.,CTA: Send Inquiry,Verbatim extract,Start the Right Conversation. | Choose what you need and reach the right team faster.,,Yes,src/pages/ContentPage.tsx
54,/contact,SECTION 2,1961,Choose a Topic,"Product question
Business inquiry
Enterprise
Institution
Partnership
Press
Support
Careers",,Partial extract,Choose a Topic | Product question | Business inquiry | Enterprise,"Institution
Partnership
Press
Support
Careers",Yes,src/pages/ContentPage.tsx
54,/contact,SECTION 3,1971,Tell Us the Outcome,Describe what you are trying to achieve and the context that matters.,,Verbatim extract,Tell Us the Outcome | Describe what you are trying to achieve and the context that matters.,,Yes,src/pages/ContentPage.tsx
55,/legal/privacy,HERO,1981,Privacy Policy,"This policy explains how LAMID ONE collects, uses, shares, retains, and protects personal information.",,Title retained; body replaced,Privacy Policy — generic availability description.,"This policy explains how LAMID ONE collects, uses, shares, retains, and protects personal information.",Yes,src/pages/ContentPage.tsx
55,/legal/privacy,SECTION 2,1984,Information We Collect,"Personal information may come from your account, service use, workspaces, uploads, connected sources, and other interactions covered by this policy.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Information We Collect
Personal information may come from your account, service use, workspaces, uploads, connected sources, and other interactions covered by this policy.",Yes,src/pages/ContentPage.tsx
55,/legal/privacy,SECTION 3,1987,How Information Is Used,"Personal information is processed for purposes described in this policy, including service delivery, security, support, permitted improvement, and applicable legal obligations.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"How Information Is Used
Personal information is processed for purposes described in this policy, including service delivery, security, support, permitted improvement, and applicable legal obligations.",Yes,src/pages/ContentPage.tsx
55,/legal/privacy,SECTION 4,1990,Sources and Sharing,"This policy describes where information comes from and when it may be shared with service providers, subprocessors, integrations, or other parties permitted by law and policy.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Sources and Sharing
This policy describes where information comes from and when it may be shared with service providers, subprocessors, integrations, or other parties permitted by law and policy.",Yes,src/pages/ContentPage.tsx
55,/legal/privacy,SECTION 5,1993,International Transfers and Retention,This policy describes applicable international-transfer arrangements and the retention periods or criteria that apply.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"International Transfers and Retention
This policy describes applicable international-transfer arrangements and the retention periods or criteria that apply.",Yes,src/pages/ContentPage.tsx
55,/legal/privacy,SECTION 6,1996,Your Rights and Choices,"Depending on your location and applicable law, rights may include access, correction, deletion, export, objection, restriction, and withdrawal of consent.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Your Rights and Choices
Depending on your location and applicable law, rights may include access, correction, deletion, export, objection, restriction, and withdrawal of consent.",Yes,src/pages/ContentPage.tsx
55,/legal/privacy,SECTION 7,1999,"Security, Changes, and Contact","This policy also covers relevant security practices, policy changes, and how to contact LAMID ONE about privacy.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Security, Changes, and Contact
This policy also covers relevant security practices, policy changes, and how to contact LAMID ONE about privacy.",Yes,src/pages/ContentPage.tsx
56,/legal/terms,HERO,2009,Terms of Service,These terms govern access to and use of LAMID ONE.,,Title retained; body replaced,Terms of Service — generic availability description.,These terms govern access to and use of LAMID ONE.,Yes,src/pages/ContentPage.tsx
56,/legal/terms,SECTION 2,2012,Eligibility and Accounts,"These terms describe who may use the service, account responsibilities, and obligations relating to credentials and authorized access.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Eligibility and Accounts
These terms describe who may use the service, account responsibilities, and obligations relating to credentials and authorized access.",Yes,src/pages/ContentPage.tsx
56,/legal/terms,SECTION 3,2015,Service Scope,"These terms describe the service, applicable plans, feature availability, service changes, and permitted use.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Service Scope
These terms describe the service, applicable plans, feature availability, service changes, and permitted use.",Yes,src/pages/ContentPage.tsx
56,/legal/terms,SECTION 4,2018,Plans and Payment,"Subscription, billing, renewal, tax, cancellation, and payment terms apply according to your plan and the terms in force.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Plans and Payment
Subscription, billing, renewal, tax, cancellation, and payment terms apply according to your plan and the terms in force.",Yes,src/pages/ContentPage.tsx
56,/legal/terms,SECTION 5,2021,User Content and Data,"These terms describe ownership, permissions, responsibilities, and the rights required to provide the service.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"User Content and Data
These terms describe ownership, permissions, responsibilities, and the rights required to provide the service.",Yes,src/pages/ContentPage.tsx
56,/legal/terms,SECTION 6,2024,AI-Assisted Outputs,"AI-assisted outputs require appropriate human judgment before consequential use, subject to the responsibilities and limitations in these terms.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"AI-Assisted Outputs
AI-assisted outputs require appropriate human judgment before consequential use, subject to the responsibilities and limitations in these terms.",Yes,src/pages/ContentPage.tsx
56,/legal/terms,SECTION 7,2027,Acceptable Use and Third-Party Services,Prohibited activity and the treatment of third-party services or integrations are governed by these terms and applicable policies.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Acceptable Use and Third-Party Services
Prohibited activity and the treatment of third-party services or integrations are governed by these terms and applicable policies.",Yes,src/pages/ContentPage.tsx
56,/legal/terms,SECTION 8,2030,"Suspension, Liability, Disputes, and Changes","These terms also cover suspension or termination, disclaimers, liability, governing law, dispute processes, changes, and contact information.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Suspension, Liability, Disputes, and Changes
These terms also cover suspension or termination, disclaimers, liability, governing law, dispute processes, changes, and contact information.",Yes,src/pages/ContentPage.tsx
57,/legal/cookies,HERO,2040,Cookie Policy,This policy explains the cookies and similar technologies used by LAMID ONE and the choices available to you.,,Title retained; body replaced,Cookie Policy — generic availability description.,This policy explains the cookies and similar technologies used by LAMID ONE and the choices available to you.,Yes,src/pages/ContentPage.tsx
57,/legal/cookies,SECTION 2,2043,Necessary Technologies,"Necessary technologies support security, authentication, preferences, and core service operation.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Necessary Technologies
Necessary technologies support security, authentication, preferences, and core service operation.",Yes,src/pages/ContentPage.tsx
57,/legal/cookies,SECTION 3,2046,Preferences and Analytics,This policy describes optional preference or analytics technologies and the purposes they serve.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Preferences and Analytics
This policy describes optional preference or analytics technologies and the purposes they serve.",Yes,src/pages/ContentPage.tsx
57,/legal/cookies,SECTION 4,2049,Advertising and Third Parties,"Where applicable, this policy identifies advertising technologies, third-party providers, and their purposes.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Advertising and Third Parties
Where applicable, this policy identifies advertising technologies, third-party providers, and their purposes.",Yes,src/pages/ContentPage.tsx
57,/legal/cookies,SECTION 5,2052,Duration,This policy describes how long relevant cookies or similar technologies remain active.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Duration
This policy describes how long relevant cookies or similar technologies remain active.",Yes,src/pages/ContentPage.tsx
57,/legal/cookies,SECTION 6,2055,Your Choices,"Use available consent settings, browser controls, and withdrawal options to manage your choices.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Your Choices
Use available consent settings, browser controls, and withdrawal options to manage your choices.",Yes,src/pages/ContentPage.tsx
57,/legal/cookies,SECTION 7,2058,Changes and Contact,This policy explains how changes are communicated and how to contact LAMID ONE about cookie or tracking questions.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Changes and Contact
This policy explains how changes are communicated and how to contact LAMID ONE about cookie or tracking questions.",Yes,src/pages/ContentPage.tsx
58,/legal/acceptable-use,HERO,2068,Acceptable Use Policy,Use LAMID ONE responsibly and lawfully.,,Title retained; body replaced,Acceptable Use Policy — generic availability description.,Use LAMID ONE responsibly and lawfully.,Yes,src/pages/ContentPage.tsx
58,/legal/acceptable-use,SECTION 2,2071,Prohibited Activity,"Do not use LAMID ONE for illegal activity, unauthorized access, malware, privacy violations, fraud, deception, intellectual-property violations, or other prohibited abuse.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Prohibited Activity
Do not use LAMID ONE for illegal activity, unauthorized access, malware, privacy violations, fraud, deception, intellectual-property violations, or other prohibited abuse.",Yes,src/pages/ContentPage.tsx
